id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
45655665,Guesthouse in San Diego · ★4.93 · 1 bedroom · 1 bed · 1 bath,298305601,Duong,,Rancho Penasquitos,32.96581,-117.11614,Entire home/apt,110,2,76,2023-06-05,2.37,1,134,22,"STR-06072L, 642484"
45657289,Rental unit in San Diego · ★4.58 · 1 bedroom · 2 beds · 1 bath,324368071,San Diego,,Old Town,32.74903,-117.1912,Entire home/apt,153,1,92,2023-06-04,2.87,21,165,19,Exempt
45657816,Hostel in San Diego · ★4.55 · 1 bedroom · 10 beds · 1 shared bath,291510892,ITH Beach Bungalow,,Pacific Beach,32.79186,-117.25452,Shared room,66,1,22,2023-06-07,0.66,7,357,12,Exempt
45657965,Hostel in San Diego · ★4.42 · Studio · 1 bed · 1 private bath,291510892,ITH Beach Bungalow,,Pacific Beach,32.79308,-117.25448,Private room,218,1,33,2023-06-01,1.04,7,253,5,Exempt
45659967,Rental unit in San Diego · ★4.70 · 2 bedrooms · 2 beds · 2 baths,239576595,Huason,,Memorial,32.70055,-117.13589,Entire home/apt,100,31,20,2021-12-02,0.61,3,176,0,
45660839,Guesthouse in San Diego · ★5.0 · 1 bedroom · 2 beds · 1.5 baths,21936096,Anita,,Clairemont Mesa,32.81031,-117.16353,Private room,58,3,6,2022-01-08,0.19,2,6,0,"STR-07170L, 647824"
45666496,Condo in San Diego · ★4.68 · 1 bedroom · 1 bed · 1 bath,369963628,Robert,,Mission Bay,32.75995,-117.24884,Entire home/apt,207,1,25,2023-05-29,0.78,1,111,11,"STR-00189L, 518935"
45673369,Guest suite in San Diego · ★4.76 · Studio · 1 bed · 1 bath,167309906,Katrina,,Moreno Mission,32.77072,-117.19896,Entire home/apt,218,1,59,2023-04-30,2.06,15,135,10,"STR-00207L, 619541"
45673579,Home in San Diego · ★4.55 · 3 bedrooms · 4 beds · 2 baths,147276739,Urban Sands,,Mission Bay,32.78317642211914,-117.2530746459961,Entire home/apt,311,4,11,2023-06-21,0.44,89,81,1,"STR-00428L, 622523"
45673872,Rental unit in San Diego · ★4.90 · 1 bedroom · 2 beds · 1 bath,8184593,Marc,,Pacific Beach,32.80144,-117.25788,Entire home/apt,468,3,21,2023-05-07,0.64,20,314,9,"STR-01824L, 607164"
45677583,Home in San Diego · ★4.54 · 2 bedrooms · 3 beds · 1 bath,234239181,Yumi,,Normal Heights,32.76496,-117.11623,Entire home/apt,203,1,132,2023-06-15,3.98,22,337,47,Exempt
45684952,Home in San Diego · ★4.78 · 3 bedrooms · 3 beds · 2 baths,147276739,Urban Sands,,Mission Bay,32.7761116027832,-117.25263977050781,Entire home/apt,379,4,63,2023-06-10,1.94,89,301,15,"STR-00372L, 600281"
45685299,Home in San Diego · ★4.90 · 4 bedrooms · 10 beds · 3 baths,85106924,Craig,,Linda Vista,32.79397,-117.1758,Entire home/apt,290,2,263,2023-06-17,8.13,2,194,88,STR-05584L
45690207,Rental unit in San Diego · ★4.87 · 1 bedroom · 1 bed · 1 bath,7899657,Catherine,,Mission Bay,32.78955,-117.25361,Entire home/apt,304,4,63,2023-05-29,1.90,1,64,14,"STR-04132L, 636733"
45698063,Home in San Diego · ★4.53 · 3 bedrooms · 3 beds · 2 baths,34073051,Kelly,,Pacific Beach,32.79656,-117.24781,Entire home/apt,327,2,74,2023-06-05,2.33,14,146,26,STR-03154L
45700602,Home in San Diego · ★4.87 · 2 bedrooms · 3 beds · 1 bath,147276739,Urban Sands,,Little Italy,32.7235221862793,-117.1672592163086,Entire home/apt,191,3,54,2023-06-16,1.67,89,304,26,"STR-01938L, 623583"
45704817,Cottage in San Diego · ★4.76 · 1 bedroom · 2 beds · 1 bath,39720979,Josh,,North Hills,32.76283,-117.13508,Entire home/apt,182,2,99,2023-06-20,3.01,2,341,33,"STR-07315L, 26311"
45704977,Home in San Diego · ★4.68 · Studio · 2 beds · 1 bath,234239181,Yumi,,City Heights West,32.74394,-117.11611,Entire home/apt,179,1,100,2023-06-19,3.02,22,358,43,Exempt
45709188,Guest suite in San Diego · ★4.79 · 1 bedroom · 1 bed · 1 bath,63163613,Nancy,,Balboa Park,32.71542,-117.13516,Entire home/apt,107,1,67,2023-06-15,2.11,2,129,37,"STR-00434L, 632368"
45724170,Home in San Diego · ★5.0 · 3 bedrooms · 4 beds · 3 baths,199520305,Jim,,Mission Bay,32.78882,-117.25397,Entire home/apt,498,5,46,2023-06-19,1.51,1,305,15,"STR-04258L, 630817"
45725672,Condo in San Diego · 1 bedroom · 1 bed · 1 bath,49548887,Maher,,College Area,32.75893,-117.07925,Entire home/apt,100,31,0,,,1,0,0,
45727979,Cottage in San Diego · ★4.72 · 1 bedroom · 2 beds · 1 bath,187933274,Tania,,North Hills,32.74875,-117.13928,Entire home/apt,153,2,95,2023-05-24,2.89,7,52,21,STR-07520L
45729146,Home in San Diego · ★4.86 · 3 bedrooms · 5 beds · 3.5 baths,88168913,Vacasa California,,Mission Bay,32.78419,-117.25187,Entire home/apt,498,31,7,2023-06-01,0.29,93,360,2,
45737821,Condo in San Diego · ★4.72 · 1 bedroom · 2 beds · 1 bath,8336938,Vacation Rentals By Aaron,,Ocean Beach,32.74734,-117.24859,Entire home/apt,175,7,47,2023-06-20,1.43,57,227,14,STR-03527L
45738131,Condo in San Diego · ★4.69 · 1 bedroom · 2 beds · 1 bath,8336938,Vacation Rentals By Aaron,,Ocean Beach,32.74744,-117.24918,Entire home/apt,208,7,61,2023-06-17,1.86,57,242,16,STR-03529L
45738256,Home in San Diego · ★4.66 · 2 bedrooms · 3 beds · 2 baths,147276739,Urban Sands,,Mission Bay,32.77606201171875,-117.25263214111328,Entire home/apt,324,4,73,2023-06-02,2.59,89,290,24,"STR-00373L, 519232"
45738261,Condo in San Diego · ★4.67 · 2 bedrooms · 2 beds · 1 bath,8336938,Vacation Rentals By Aaron,,Ocean Beach,32.74676,-117.25056,Entire home/apt,285,7,64,2023-06-14,1.96,57,244,22,STR-03470L
45740710,Home in San Diego · ★5.0 · 5 bedrooms · 5 beds · 5 baths,167309906,Katrina,,Moreno Mission,32.76948,-117.19903,Entire home/apt,885,2,14,2022-07-29,0.43,15,122,1,"STR-00207L, 619541"
45749004,Home in San Diego · ★4.90 · 2 bedrooms · 4 beds · 1 bath,25701588,Schafer,,City Heights West,32.75214,-117.11544,Entire home/apt,210,2,140,2023-06-16,4.28,2,343,53,"STR-03358L, 637694"
45752176,Guesthouse in San Diego · ★5.0 · 1 bedroom · 1 bed · 1 bath,20068090,Brianna,,Normal Heights,32.77136,-117.11584,Entire home/apt,131,28,18,2023-05-29,0.58,2,100,9,"STR-02720L, 645364"
45752643,Guest suite in San Diego · ★4.99 · 1 bedroom · 2 beds · 1 bath,370913731,Blythe,,Pacific Beach,32.80131,-117.25203,Entire home/apt,263,4,126,2023-06-20,3.88,1,112,48,"STR-07664L, 627653"
45758062,Home in San Diego · ★4.75 · 4 bedrooms · 5 beds · 2 baths,64369150,Porter,,Loma Portal,32.74848,-117.2401,Entire home/apt,401,2,107,2023-05-31,3.27,7,132,29,"STR-03752L, 636622"
45760699,Home in San Diego · ★4.92 · 1 bedroom · 1 bed · 1.5 baths,97436844,Tuba,,Rancho Penasquitos,32.95932,-117.12796,Private room,64,31,12,2022-07-05,0.37,3,93,1,
45769598,Condo in San Diego · ★4.67 · 2 bedrooms · 3 beds · 1 bath,28474582,Kara,,Pacific Beach,32.79497,-117.2489,Entire home/apt,360,7,36,2023-06-18,1.23,5,241,11,"STR-04561L, 614641"
45769630,Bungalow in San Diego · ★4.57 · 1 bedroom · 2 beds · 1 bath,28474582,Kara,,Ocean Beach,32.75268,-117.25116,Entire home/apt,261,7,23,2023-02-20,1.29,5,247,12,"STR-03648L, 609781"
45769664,Condo in San Diego · ★4.71 · 1 bedroom · 2 beds · 1 bath,28474582,Kara,,Mission Bay,32.78916,-117.25493,Entire home/apt,279,7,31,2023-06-04,1.06,5,227,12,"STR-02770L, 625201"
45784445,Home in San Diego · ★5.0 · 4 bedrooms · 6 beds · 4 baths,80692099,Linda,,Mission Bay,32.78389,-117.25262,Entire home/apt,779,4,10,2023-01-01,0.39,4,252,3,"STR-04303L, 630161"
45785483,Rental unit in San Diego · ★4.76 · 2 bedrooms · 3 beds · 2 baths,125444529,Cody,,Pacific Beach,32.80064,-117.25704,Entire home/apt,271,2,122,2023-06-19,3.75,39,40,41,"STR-01023L, 638362"
45785703,Rental unit in San Diego · ★4.77 · 1 bedroom · 1 bed · 1 bath,125444529,Cody,,Pacific Beach,32.80082,-117.25697,Entire home/apt,178,2,131,2023-06-19,3.99,39,41,56,"STR-01041L, 638370"
45786327,Rental unit in San Diego · ★4.76 · 1 bedroom · 2 beds · 1 bath,14645243,RentalWithAView,,Midtown,32.73853,-117.17431,Entire home/apt,133,30,83,2023-05-22,2.75,13,302,29,"STR-00681L, 625682"
